2; 13-3;I have <TONS> tons of cargo for station <DEST> but i have other pressing business. Would you be interested in the job?;36
0;If we knew where the pirates bases were, they would be easier to avoid.;I know where a piratebase is <->There is a piratebase at <PCORDS>;Thank you. I will stay clear of that one
1;Another merchant ship was destroyed a short while ago. If we only could warn them where they have to keep an eye on their sensor readings.;I know where a piratebase is <->There is a piratebase at <PCORDS>;Ah. Good to know! I will avoid that system then. Thank you!
2;Spacetrade is about to grind to a halt! I need to know! Where are the pirate bases?;I know where a piratebase is <->There is a piratebase at <PCORDS>;This is vital information! Thank you very much
0;Did you find any interesting planets, worth a visit?;I know a very interesting place <->There is <SPLANET> at <PCORDS>;Thanks. I'll take a look at that.
1;My crew needs a challenge. Did you find any interesting planets, worth a visit?;I know a very interesting place <->There is <SPLANET> at <PCORDS>;Thanks. Sounds interesting and worth a visit.
2;I could really use some excitement on my next trip! Do you know about any interesting planets?;I know a very interesting place <->There is <SPLANET> at <PCORDS>;Awesome! I must take a look at that immediately
0;Do you know of any earthlike planets in this sector?;I know about an earthlike planet <->The earthlike planet is at <PCORDS>. I think you would really enjoy it.;Oh thanks! I am sure I will enjoy myself there!
1;I really need to take a walk without a spacesuit! Do you know of any earthlike planets?;I know about an earthlike planet <->The earthlike planet is at <PCORDS>. I think you would really enjoy it.;Oh thanks! I am sure I will enjoy myself there!
2;Are all planets in this sector uninhabitable? Please tell me, have you found any earthlike planets yet?;I know about an earthlike planet <->The earthlike planet is at <PCORDS>. I think you would really enjoy it.;Oh thanks! I am sure I will enjoy myself there!
0;I've heard of an interesting paper by <CHARACTER>. I would like to read it.;I just finished this research paper. Don't know if I am going to publish it.;52
1;The paper by <CHARACTER> can propably help me solve my problem.;I just finished this research paper. It's sure gonna turn some heads.;53
2;I need <CHARACTER>s research paper! I can't continue my work without it.;I just finished this research paper. Now I am looking for a buyer.;54
0;I like to get ahead of our competition. I am always interested in info on <CORP>;I've got their latest report if you want it.;Thanks. Maybe I find something in here.
1;I am suspicious <CORP> is up to something. If you know anything about them let me know.;I've got their latest internal report, if you want it.;Thanks. Maybe I find something in here.
2;I know <CORP> is planning something! Any info you got on them would be highly appreciated!;Can't tell you how I got it, but this report is top secret. I would sell it to you.;Thanks. Maybe I find something in here.
0;I need biodata for my research. I am only just starting out and the companies are really stingy when it comes to supplying independents.;I've got some extra biodata I would be willing to sell;Thats some interesting Data. Thank you.
1;I still need some more biodata befor I can finish my research.;I've got interesting biodata. I would be willing to sell it.;Ah. Thanks! This looks interesting and I hate the paperwork.
2;Just a bit more biodata and I can finish my research. You don't happen to have any?;I've got highly interesting biodata. Do you want to buy it?;Just what I needed! Thank you.
0;I am always interested in data on anomalies.;I've got some data on anomalies I don't really need.;Thats some interesting Data. Thank you.
1;My research on anomalies is going on well. I need a decent chunk of data to test my hypothesis. Then I can finish it.;Ive got some interesting data on anomalies.;Ah. Thanks! This looks interesting and I hate the paperwork.
2;Just a little bit more of data and I can finish my research on anomalies.;I've got very interesting data on anomalies. If you want it can be yours.;Just what I needed! Thank you.
0;I am always interested in new approaches for maintenance and repair procedures, born out of necessity.;I've got this plan for emergency repairs. Do you want it?;64
1;Right now I am stuck with a problem. I could really need some inspiration!;I've got this plan for emergency repairs. Do you want to buy it?;65
2;I have heard of something done by a SO that should be impossible. I would love to get my hands on those plans!;I've got this revolutionary plan for emergency repairs. It's gonna cost you if you want it.;66
0;0;I am really looking forward to retire. Might you be interested in buying my ship?;
1;1;If I want to get home I need to get rid of this ship! I'll make you an offer you can't refuse!;
2;2;I can't stand the bloodshed and the horror anymore! I am going home. Firesale is what this is! Do you want my ship?;
